task,model,subject,session,accuracy,balanced_accuracy,f1_score,kappa,loss,n_subjects,loso_acc_mean,loso_acc_std,loso_balacc_mean,loso_f1_mean,loso_kappa_mean
speech_mode,EEGConformer,07,01,0.333333,0.333333,0.166667,0.0,-1914471274.666667,14,0.333333,0.0,0.333333,0.166667,0.0
speech_mode,EEGConformer,08,01,0.333333,0.333333,0.166667,0.0,-1920842634.666667,14,0.333333,0.0,0.333333,0.166667,0.0
speech_mode,EEGConformer,09,01,0.333333,0.333333,0.166667,0.0,-1373007168.0,14,0.333333,0.0,0.333333,0.166667,0.0
speech_mode,EEGConformer,09,02,0.333333,0.333333,0.166667,0.0,-1373118826.666667,14,0.333333,0.0,0.333333,0.166667,0.0
speech_mode,EEGConformer,10,01,0.333333,0.333333,0.166667,0.0,-1925041109.333333,14,0.333333,0.0,0.333333,0.166667,0.0
speech_mode,EEGConformer,11,01,0.333333,0.333333,0.166667,0.0,-1932050837.333333,14,0.333333,0.0,0.333333,0.166667,0.0
speech_mode,EEGConformer,12,01,0.333333,0.333333,0.166667,0.0,-1356654218.666667,14,0.333333,0.0,0.333333,0.166667,0.0
speech_mode,EEGConformer,12,02,0.333333,0.333333,0.166667,0.0,-1356659648.0,14,0.333333,0.0,0.333333,0.166667,0.0
speech_mode,EEGConformer,13,01,0.333333,0.333333,0.166667,0.0,-1354586293.333333,14,0.333333,0.0,0.333333,0.166667,0.0
speech_mode,EEGConformer,13,02,0.333333,0.333333,0.166667,0.0,-1354594954.666667,14,0.333333,0.0,0.333333,0.166667,0.0
speech_mode,EEGConformer,14,01,0.333333,0.333333,0.166667,0.0,-1980205728.0,14,0.333333,0.0,0.333333,0.166667,0.0
speech_mode,EEGMamba,01,01,0.681046,0.681046,0.671816,0.521569,0.727661,14,0.56578,0.078829,0.56578,0.55253,0.348669
speech_mode,EEGMamba,02,01,0.439216,0.439216,0.41471,0.158824,1.762726,14,0.56578,0.078829,0.56578,0.55253,0.348669
speech_mode,EEGMamba,03,01,0.501961,0.501961,0.462907,0.252941,1.49954,14,0.56578,0.078829,0.56578,0.55253,0.348669
speech_mode,EEGMamba,04,01,0.606536,0.606536,0.602866,0.409804,2.389786,14,0.56578,0.078829,0.56578,0.55253,0.348669
speech_mode,EEGMamba,04,02,0.603922,0.603922,0.603346,0.405882,1.748947,14,0.56578,0.078829,0.56578,0.55253,0.348669
speech_mode,EEGMamba,05,01,0.484967,0.484967,0.461227,0.227451,1.041401,14,0.56578,0.078829,0.56578,0.55253,0.348669
speech_mode,EEGMamba,05,02,0.647059,0.647059,0.648925,0.470588,0.74959,14,0.56578,0.078829,0.56578,0.55253,0.348669
speech_mode,EEGMamba,06,01,0.542484,0.542484,0.539094,0.313725,1.005639,14,0.56578,0.078829,0.56578,0.55253,0.348669
speech_mode,EEGMamba,07,01,0.424837,0.424837,0.363432,0.137255,2.757539,14,0.56578,0.078829,0.56578,0.55253,0.348669
speech_mode,EEGMamba,08,01,0.635294,0.635294,0.634529,0.452941,0.824983,14,0.56578,0.078829,0.56578,0.55253,0.348669
speech_mode,EEGMamba,09,01,0.505882,0.505882,0.503422,0.258824,2.496495,14,0.56578,0.078829,0.56578,0.55253,0.348669
speech_mode,EEGMamba,09,02,0.660131,0.660131,0.663916,0.490196,1.844276,14,0.56578,0.078829,0.56578,0.55253,0.348669
speech_mode,EEGMamba,10,01,0.669281,0.669281,0.668561,0.503922,1.20081,14,0.56578,0.078829,0.56578,0.55253,0.348669
speech_mode,EEGMamba,11,01,0.461438,0.461438,0.433765,0.192157,1.379299,14,0.56578,0.078829,0.56578,0.55253,0.348669
speech_mode,EEGMamba,12,01,0.498039,0.498039,0.49405,0.247059,1.67283,14,0.56578,0.078829,0.56578,0.55253,0.348669
speech_mode,EEGMamba,12,02,0.669281,0.669281,0.670427,0.503922,1.200907,14,0.56578,0.078829,0.56578,0.55253,0.348669
